sent,claim,formula,row_index,column,scenario,file
"By 2040, China becomes the largest net oil importer in history, importing over 13 million barrels per day (mb/d).",largest,"=IF(D41<D46,""ok"",""false"")",OIL_NetTrade,2040,NPS,templates_temp/data/Ch03-Oil.csv
"By 2040, China becomes the largest net oil importer in history, importing over 13 million barrels per day (mb/d).",over 13 million,=D41,OIL_NetTrade,2040,NPS,templates_temp/data/Ch03-Oil.csv
"Demand growth is strong in India and the Middle East, both of which become larger sources of oil consumption than the European Union around 2030.",strong,=(D57-D55)/D55,TPEDoil_mbd,2017,NPS,templates_temp/data/Ch03-Oil.csv
"Demand growth is strong in India and the Middle East, both of which become larger sources of oil consumption than the European Union around 2030.",larger,"=IF(AND(D56>D63,D60>D63),"" ok"", ""false"")",TPEDoil_mbd,2033,NPS,templates_temp/data/Ch03-Oil.csv
"Oil use in cars peaks in the mid-2020s in the New Policies Scenario, even though the global car fleet rises by 80% to reach 2 000 million in 2040. ",peaks,in 2027,,,,templates_temp/data/Ch03-Oil.csv
"Oil use in cars peaks in the mid-2020s in the New Policies Scenario, even though the global car fleet rises by 80% to reach 2 000 million in 2040. ",rises,"=IF(G70>0,""ok"",""false"")",2017,VehicleRoadStock_PLDV,"=HLOOKUP(A69,[15]!RawData_NPS_World,MATCH(B69,[15]!DataRowName,0),FALSE)",templates_temp/data/Ch03-Oil.csv
"Oil use in cars peaks in the mid-2020s in the New Policies Scenario, even though the global car fleet rises by 80% to reach 2 000 million in 2040. ",0.8,=(C70-C69)/C69,2040,VehicleRoadStock_PLDV,"=HLOOKUP(A70,[15]!RawData_NPS_World,MATCH(B70,[15]!DataRowName,0),FALSE)",templates_temp/data/Ch03-Oil.csv
"Oil use in cars peaks in the mid-2020s in the New Policies Scenario, even though the global car fleet rises by 80% to reach 2 000 million in 2040. ",2 000 million,=C70,2040,VehicleRoadStock_PLDV,"=HLOOKUP(A70,[15]!RawData_NPS_World,MATCH(B70,[15]!DataRowName,0),FALSE)",templates_temp/data/Ch03-Oil.csv
Some 300 million electric cars on the road in 2040 displace 3.3 mb/d of potential demand. ,Some 300 million,=C87,2040,VehicleRoadStock_Ecars,"=HLOOKUP(A87,[15]!RawData_NPS_World,MATCH(B87,[15]!DataRowName,0),FALSE)",templates_temp/data/Ch03-Oil.csv
Some 300 million electric cars on the road in 2040 displace 3.3 mb/d of potential demand. ,3.3 mb/d,=[16]oil_displacement!$CC$33,2040,VehicleRoadStock_Ecars,"=HLOOKUP(A87,[15]!RawData_NPS_World,MATCH(B87,[15]!DataRowName,0),FALSE)",templates_temp/data/Ch03-Oil.csv
Efficiency measures are even more important to stem oil demand growth: improvements in the non-electric car fleet avoid over 9 mb/d of oil demand in 2040.,over 9 mb/d,=G92*G93/SUM(G94:G95),,,,templates_temp/data/Ch03-Oil.csv
"However, this pace of change is not matched elsewhere. Oil demand for trucks grows by 4 mb/d between 2017 and 2040, even though vehicle and logistical efficiencies avoid nearly 5.5 mb/d additional demand growth in 2040.",4 mb/d,=G100-G99,,,,templates_temp/data/Ch03-Oil.csv
"However, this pace of change is not matched elsewhere. Oil demand for trucks grows by 4 mb/d between 2017 and 2040, even though vehicle and logistical efficiencies avoid nearly 5.5 mb/d additional demand growth in 2040.",4 mb/d,"=HLOOKUP(B99,[76]!OilData_CurWEO_WORLD,MATCH(A99,[76]!OilData_RowName,0),FALSE)",Road freight,2017,,templates_temp/data/Ch03-Oil.csv
"However, this pace of change is not matched elsewhere. Oil demand for trucks grows by 4 mb/d between 2017 and 2040, even though vehicle and logistical efficiencies avoid nearly 5.5 mb/d additional demand growth in 2040.",4 mb/d,"=HLOOKUP(B100,[76]!OilData_CurWEO_WORLD,MATCH(A100,[76]!OilData_RowName,0),FALSE)",Road freight,2040,,templates_temp/data/Ch03-Oil.csv
"However, this pace of change is not matched elsewhere. Oil demand for trucks grows by 4 mb/d between 2017 and 2040, even though vehicle and logistical efficiencies avoid nearly 5.5 mb/d additional demand growth in 2040.",nearly 5.5 mb/d additional,='3.3.1 road transport'!G597,Road freight,2040,,templates_temp/data/Ch03-Oil.csv
Oil use in petrochemicals sees the largest growth (5 mb/d) of any sector. , largest,=G105=MAX(G107:G115),,,,templates_temp/data/Ch03-Oil.csv
Oil use in petrochemicals sees the largest growth (5 mb/d) of any sector. ,5 mb/d ,=G115,,,,templates_temp/data/Ch03-Oil.csv
Oil use in petrochemicals sees the largest growth (5 mb/d) of any sector. ,Power,=SUM((F107=[109]Fig_03_01!$C$38:$K$38)*[109]Fig_03_01!$C$42:$K$42),,,,templates_temp/data/Ch03-Oil.csv
Oil use in petrochemicals sees the largest growth (5 mb/d) of any sector. ,Buildings ,=SUM((F108=[109]Fig_03_01!$C$38:$K$38)*[109]Fig_03_01!$C$42:$K$42),,,,templates_temp/data/Ch03-Oil.csv
Oil use in petrochemicals sees the largest growth (5 mb/d) of any sector. ,Other,=SUM((F109=[109]Fig_03_01!$C$38:$K$38)*[109]Fig_03_01!$C$42:$K$42),,,,templates_temp/data/Ch03-Oil.csv
Oil use in petrochemicals sees the largest growth (5 mb/d) of any sector. ,Cars,=SUM((F110=[109]Fig_03_01!$C$38:$K$38)*[109]Fig_03_01!$C$42:$K$42),,,,templates_temp/data/Ch03-Oil.csv
Oil use in petrochemicals sees the largest growth (5 mb/d) of any sector. ,"Other
Industry",=SUM((F111=[109]Fig_03_01!$C$38:$K$38)*[109]Fig_03_01!$C$42:$K$42),,,,templates_temp/data/Ch03-Oil.csv
Oil use in petrochemicals sees the largest growth (5 mb/d) of any sector. ,Shipping,=SUM((F112=[109]Fig_03_01!$C$38:$K$38)*[109]Fig_03_01!$C$42:$K$42),,,,templates_temp/data/Ch03-Oil.csv
Oil use in petrochemicals sees the largest growth (5 mb/d) of any sector. ,Aviation,=SUM((F113=[109]Fig_03_01!$C$38:$K$38)*[109]Fig_03_01!$C$42:$K$42),,,,templates_temp/data/Ch03-Oil.csv
Oil use in petrochemicals sees the largest growth (5 mb/d) of any sector. ,Trucks,=SUM((F114=[109]Fig_03_01!$C$38:$K$38)*[109]Fig_03_01!$C$42:$K$42),,,,templates_temp/data/Ch03-Oil.csv
Oil use in petrochemicals sees the largest growth (5 mb/d) of any sector. ,"Petro-
chemicals",=SUM((F115=[109]Fig_03_01!$C$38:$K$38)*[109]Fig_03_01!$C$42:$K$42),,,,templates_temp/data/Ch03-Oil.csv
Efforts to increase recycling do not offset the underlying growth in demand for chemical products., do not offset,='3.2.1 - 3.2.5 + 3.2.8'!G594,,,,templates_temp/data/Ch03-Oil.csv
"If current recycling rates were to double, this would shave 1.5 mb/d in 2040.", shave 1.5 m/d,='3.2.1 - 3.2.5 + 3.2.8'!G593,,,,templates_temp/data/Ch03-Oil.csv
"On the supply side, the United States provides nearly 75% of the increase in global oil production to 2025. ",nearly 75%,=G132/G129,,,,templates_temp/data/Ch03-Oil.csv
"On the supply side, the United States provides nearly 75% of the increase in global oil production to 2025. ", increase,"=IF(G129>0,""ok"",""false"")",World,,,templates_temp/data/Ch03-Oil.csv
"On the supply side, the United States provides nearly 75% of the increase in global oil production to 2025. ", increase,=C129-C128,2025,OIL_PROD,"=VLOOKUP(B129,[5]!data_World,MATCH(A129,[5]!time_World,0),FALSE)",templates_temp/data/Ch03-Oil.csv
"On the supply side, the United States provides nearly 75% of the increase in global oil production to 2025. ", increase,=C132-C131,2025,OIL_PROD,"=VLOOKUP(B132,[5]!data_US,MATCH(A132,[5]!time_US,0),FALSE)",templates_temp/data/Ch03-Oil.csv
"US tight oil reaches a high of 9.2 mb/d in the mid-2020s before declining slowly. But tight oil increases elsewhere, notably in Argentina.", high,=MAX(C137:C150),,,,templates_temp/data/Ch03-Oil.csv
"US tight oil reaches a high of 9.2 mb/d in the mid-2020s before declining slowly. But tight oil increases elsewhere, notably in Argentina.", 9.2 mb/d,=G136,2017,PROD_LTO,"=VLOOKUP(B137,[5]!data_US,MATCH(A137,[5]!time_US,0),FALSE)",templates_temp/data/Ch03-Oil.csv
"US tight oil reaches a high of 9.2 mb/d in the mid-2020s before declining slowly. But tight oil increases elsewhere, notably in Argentina.",declining slowly,=(C151/C145)^(1/(A151-A145))-1,2018,PROD_LTO,"=VLOOKUP(B138,[5]!data_US,MATCH(A138,[5]!time_US,0),FALSE)",templates_temp/data/Ch03-Oil.csv
"US tight oil reaches a high of 9.2 mb/d in the mid-2020s before declining slowly. But tight oil increases elsewhere, notably in Argentina.", increases,"=IF(C159>C158,""ok"",""false"")",2040,PROD_LTO,"=VLOOKUP(B151,[5]!data_US,MATCH(A151,[5]!time_US,0),FALSE)",templates_temp/data/Ch03-Oil.csv
"US tight oil reaches a high of 9.2 mb/d in the mid-2020s before declining slowly. But tight oil increases elsewhere, notably in Argentina.",notably,=(C163-C161)/C161,2017,PROD_LTO,"=VLOOKUP(B153,[5]!data_World,MATCH(A153,[5]!time_World,0),FALSE)",templates_temp/data/Ch03-Oil.csv
"If these approvals do not pick up sharply from today’s levels, US tight oil production needs to grow to over 15 mb/d by 2025 to meet demand.",over 15 mb/d,='3.3.2 supply crunch'!G213,,,,templates_temp/data/Ch03-Oil.csv
"A wave of 17 mb/d of new refining capacity comes online between 2017 and 2040, mainly in Asia and the Middle East.",mainly,=SUM(C170:C171)/C169,,ME,=SUM([19]ME!$N$15:$AJ$15),templates_temp/data/Ch03-Oil.csv
"By 2040, China’s refinery runs are similar to those in the United States.",similar,"=IF(((C175-C173)/C173)<0.05,""ok"",""false"")",2025,Ref_Runs,"=VLOOKUP(B172,[19]!data_US,MATCH(A172,[19]!time_US,0),FALSE)",templates_temp/data/Ch03-Oil.csv
Near-term pressure on product markets comes from new regulations on the sulfur content of marine fuels which enter into force in 2020. These exert upward price pressure on diesel that only slackens as new fuels are developed and scrubbers are installed.,upward price pressure,True,,,,templates_temp/data/Ch03-Oil.csv
Text,Published value,Author calculation,Look-up value,Look-up year,Scenario,templates_temp/data/Ch03-Oil.csv
"In the wake of the fallout from the 2014 oil price crash, the continued expansion of tight oil producton in the United States and the prospect of major structural changes in oil consumption underpinned a view that the oil price was set to stay lower for longer, perhaps for ever",2014,"=INDEX(B6:B8,MATCH(MAX(G6:G8),G6:G8,0))",,,,templates_temp/data/Ch03-Oil.csv
"In the wake of the fallout from the 2014 oil price crash, the continued expansion of tight oil producton in the United States and the prospect of major structural changes in oil consumption underpinned a view that the oil price was set to stay lower for longer, perhaps for ever",continued expansion,=D19>D18>D17>D16,,,,templates_temp/data/Ch03-Oil.csv
"In the wake of the fallout from the 2014 oil price crash, the continued expansion of tight oil producton in the United States and the prospect of major structural changes in oil consumption underpinned a view that the oil price was set to stay lower for longer, perhaps for ever",Change,=G10-G9,,2014,,templates_temp/data/Ch03-Oil.csv
"In the wake of the fallout from the 2014 oil price crash, the continued expansion of tight oil producton in the United States and the prospect of major structural changes in oil consumption underpinned a view that the oil price was set to stay lower for longer, perhaps for ever",Change,=G11-G10,,2015,,templates_temp/data/Ch03-Oil.csv
"In the wake of the fallout from the 2014 oil price crash, the continued expansion of tight oil producton in the United States and the prospect of major structural changes in oil consumption underpinned a view that the oil price was set to stay lower for longer, perhaps for ever",Change,=G12-G11,,2016,,templates_temp/data/Ch03-Oil.csv
"In the wake of the fallout from the 2014 oil price crash, the continued expansion of tight oil producton in the United States and the prospect of major structural changes in oil consumption underpinned a view that the oil price was set to stay lower for longer, perhaps for ever",Change,"=VLOOKUP(A9,[111]!Prices_Data,MATCH(B9,[111]!Prices_Time,0),FALSE)",OilPricePublished,2013,CPS,templates_temp/data/Ch03-Oil.csv
"In the wake of the fallout from the 2014 oil price crash, the continued expansion of tight oil producton in the United States and the prospect of major structural changes in oil consumption underpinned a view that the oil price was set to stay lower for longer, perhaps for ever",Change,"=VLOOKUP(A10,[111]!Prices_Data,MATCH(B10,[111]!Prices_Time,0),FALSE)",OilPricePublished,2014,CPS,templates_temp/data/Ch03-Oil.csv
"In the wake of the fallout from the 2014 oil price crash, the continued expansion of tight oil producton in the United States and the prospect of major structural changes in oil consumption underpinned a view that the oil price was set to stay lower for longer, perhaps for ever",Change,"=VLOOKUP(A11,[111]!Prices_Data,MATCH(B11,[111]!Prices_Time,0),FALSE)",OilPricePublished,2015,CPS,templates_temp/data/Ch03-Oil.csv
"In the wake of the fallout from the 2014 oil price crash, the continued expansion of tight oil producton in the United States and the prospect of major structural changes in oil consumption underpinned a view that the oil price was set to stay lower for longer, perhaps for ever",Change,"=VLOOKUP(A12,[111]!Prices_Data,MATCH(B12,[111]!Prices_Time,0),FALSE)",OilPricePublished,2016,CPS,templates_temp/data/Ch03-Oil.csv
mb/d,remarkably resilient,"=IF(AND(D17>D16,D19>D17),"" ok"",""false"")",PROD_LTO,2014,NPS,templates_temp/data/Ch03-Oil.csv
mb/d,held back,"=IF(AND(D25<D24,D26<D24),"" ok"",""false"")",PROD_LTO,2015,,templates_temp/data/Ch03-Oil.csv
and the oil price has averaged over $67 per barrel (bbl) so far in 2018,$67 per barrel (bbl) ,=AVERAGE([84]Monthly!$L$458:$L$465),,,,templates_temp/data/Ch03-Oil.csv
a maturing shale sector is now poised to make money,now poised,ok,,,,templates_temp/data/Ch03-Oil.csv
the cost of developing new upstream projects remains low,remains low,ok,,,,templates_temp/data/Ch03-Oil.csv
sales of electric cars continue to break new ground,continue to break,"=IF(D40>D39,""ok"",""false"")",VehicleRoadStock_Ecars,2016,,templates_temp/data/Ch03-Oil.csv
and a new wave of refining capacity entering operation is set to reshape the competitive landscape,new wave,='3.2.6-3.2.7 ref + trade'!G66,,,,templates_temp/data/Ch03-Oil.csv
"Geopolitcal events, the slump in Venezuelan output, and decisions by major producers have had a major inﬂuence on markets",slump,=D48>D49>D50>D51,,,,templates_temp/data/Ch03-Oil.csv
Oil consumers responded to lower prices by pushing up consumption to the extent that oil has increased its share in the global energy mix in recent years,pushing up,"=AND(G56<G57,G57<G58)",,,,templates_temp/data/Ch03-Oil.csv
Oil consumers responded to lower prices by pushing up consumption to the extent that oil has increased its share in the global energy mix in recent years,increased,"=VLOOKUP(A56,[1]!PhysicalUnits_Data,MATCH(B56,[1]!PhysicalUnits_Time,0),FALSE)",TPEDoil_mbd,2015,NPS ,templates_temp/data/Ch03-Oil.csv
Oil consumers responded to lower prices by pushing up consumption to the extent that oil has increased its share in the global energy mix in recent years,increased,"=VLOOKUP(A57,[1]!PhysicalUnits_Data,MATCH(B57,[1]!PhysicalUnits_Time,0),FALSE)",TPEDoil_mbd,2016,NPS ,templates_temp/data/Ch03-Oil.csv
Oil consumers responded to lower prices by pushing up consumption to the extent that oil has increased its share in the global energy mix in recent years,increased,"=VLOOKUP(A58,[1]!PhysicalUnits_Data,MATCH(B58,[1]!PhysicalUnits_Time,0),FALSE)",TPEDoil_mbd,2017,NPS ,templates_temp/data/Ch03-Oil.csv
Oil consumers responded to lower prices by pushing up consumption to the extent that oil has increased its share in the global energy mix in recent years,increased,=G64/G68,TPEDoil_mbd,2014,=G60,templates_temp/data/Ch03-Oil.csv
Oil consumers responded to lower prices by pushing up consumption to the extent that oil has increased its share in the global energy mix in recent years,increased,=G65/G69,TPEDoil_mbd,2015,=G61,templates_temp/data/Ch03-Oil.csv
Oil consumers responded to lower prices by pushing up consumption to the extent that oil has increased its share in the global energy mix in recent years,increased,=G66/G70,TPEDoil_mbd,2016,=G62,templates_temp/data/Ch03-Oil.csv
Oil consumers responded to lower prices by pushing up consumption to the extent that oil has increased its share in the global energy mix in recent years,increased,=G67/G71,TPEDoil_mbd,2017,=G63,templates_temp/data/Ch03-Oil.csv
Oil consumers responded to lower prices by pushing up consumption to the extent that oil has increased its share in the global energy mix in recent years,increased,"=VLOOKUP(A64,[1]!Balance_Data,MATCH(B64,[1]!Balance_Time,0),FALSE)",TPEDoil,2014,NPS ,templates_temp/data/Ch03-Oil.csv
Oil consumers responded to lower prices by pushing up consumption to the extent that oil has increased its share in the global energy mix in recent years,increased,"=VLOOKUP(A65,[1]!Balance_Data,MATCH(B65,[1]!Balance_Time,0),FALSE)",TPEDoil,2015,NPS ,templates_temp/data/Ch03-Oil.csv
Oil consumers responded to lower prices by pushing up consumption to the extent that oil has increased its share in the global energy mix in recent years,increased,"=VLOOKUP(A66,[1]!Balance_Data,MATCH(B66,[1]!Balance_Time,0),FALSE)",TPEDoil,2016,NPS ,templates_temp/data/Ch03-Oil.csv
Oil consumers responded to lower prices by pushing up consumption to the extent that oil has increased its share in the global energy mix in recent years,increased,"=VLOOKUP(A67,[1]!Balance_Data,MATCH(B67,[1]!Balance_Time,0),FALSE)",TPEDoil,2017,NPS ,templates_temp/data/Ch03-Oil.csv
Oil consumers responded to lower prices by pushing up consumption to the extent that oil has increased its share in the global energy mix in recent years,increased,"=VLOOKUP(A68,[1]!Balance_Data,MATCH(B68,[1]!Balance_Time,0),FALSE)",TPEDtotal,2014,NPS ,templates_temp/data/Ch03-Oil.csv
Oil consumers responded to lower prices by pushing up consumption to the extent that oil has increased its share in the global energy mix in recent years,increased,"=VLOOKUP(A69,[1]!Balance_Data,MATCH(B69,[1]!Balance_Time,0),FALSE)",TPEDtotal,2015,NPS ,templates_temp/data/Ch03-Oil.csv
Oil consumers responded to lower prices by pushing up consumption to the extent that oil has increased its share in the global energy mix in recent years,increased,"=VLOOKUP(A70,[1]!Balance_Data,MATCH(B70,[1]!Balance_Time,0),FALSE)",TPEDtotal,2016,NPS ,templates_temp/data/Ch03-Oil.csv
Oil consumers responded to lower prices by pushing up consumption to the extent that oil has increased its share in the global energy mix in recent years,increased,"=VLOOKUP(A71,[1]!Balance_Data,MATCH(B71,[1]!Balance_Time,0),FALSE)",TPEDtotal,2017,NPS ,templates_temp/data/Ch03-Oil.csv
"In September 2018, the oil price surpassed $80/barrel for the first tme since 2014",80,=MAX([112]Annual!$B$7951:$B$7970)>80,,,,templates_temp/data/Ch03-Oil.csv
"In September 2018, the oil price surpassed $80/barrel for the first tme since 2014",since 2014,"=AND(G76>80,G77<80)",,,,templates_temp/data/Ch03-Oil.csv
"In September 2018, the oil price surpassed $80/barrel for the first tme since 2014",max 2014,=MAX([112]Monthly!$B$326:$B$337),,,,templates_temp/data/Ch03-Oil.csv
"In September 2018, the oil price surpassed $80/barrel for the first tme since 2014",max 2015-August 2018,=MAX([112]Monthly!$B$338:$B$381),,,,templates_temp/data/Ch03-Oil.csv
"The New Policies Scenario shows a world where oil demand continues to rise, but where its growth is moderated by a variety of new policies",continues to rise,"=IF(D82>D81,"" ok"",""false"")",TPEDoil_mbd,2017,NPS ,templates_temp/data/Ch03-Oil.csv
"The New Policies Scenario shows a world where oil demand continues to rise, but where its growth is moderated by a variety of new policies", moderated,"=IF(D82<D83,"" ok"",""false"")",TPEDoil_mbd,2040,NPS,templates_temp/data/Ch03-Oil.csv
"The New Policies Scenario shows a world where oil demand continues to rise, but where its growth is moderated by a variety of new policies",CAAGR 2017-40,=(D82/D81)^(1/(B82-B81))-1,TPEDoil_mbd,2040,CPS,templates_temp/data/Ch03-Oil.csv
The Current Policies Scenario shows how a failure to implement planned policies could lead to persistent oil demand growth of over 1 mb/d every year to 2040. ,over 1 mb/d,=(D89-D88)/(B89-B88),TPEDoil_mbd,2017,CPS,templates_temp/data/Ch03-Oil.csv
"In contrast, the Sustainable Development Scenario highlights the implicatons of a near-term peak in oil demand and a long-lasting lower oil price.",near-term peak,"=INDEX(B94:B107,MATCH(MAX(G94:G107),G94:G107,0))",,,,templates_temp/data/Ch03-Oil.csv
"In contrast, the Sustainable Development Scenario highlights the implicatons of a near-term peak in oil demand and a long-lasting lower oil price.",long-lasting lower,=MAX(G109:G120)<80,,,,templates_temp/data/Ch03-Oil.csv
"In contrast, the Sustainable Development Scenario highlights the implicatons of a near-term peak in oil demand and a long-lasting lower oil price.",long-lasting lower,"=VLOOKUP(A94,[22]!PhysicalUnits_Data,MATCH(B94,[22]!PhysicalUnits_Time,0),FALSE)",TPEDoil_mbd,2017,SDS,templates_temp/data/Ch03-Oil.csv
"In contrast, the Sustainable Development Scenario highlights the implicatons of a near-term peak in oil demand and a long-lasting lower oil price.",long-lasting lower,"=VLOOKUP(A95,[22]!PhysicalUnits_Data,MATCH(B95,[22]!PhysicalUnits_Time,0),FALSE)",TPEDoil_mbd,2018,SDS,templates_temp/data/Ch03-Oil.csv
"In contrast, the Sustainable Development Scenario highlights the implicatons of a near-term peak in oil demand and a long-lasting lower oil price.",long-lasting lower,"=VLOOKUP(A96,[22]!PhysicalUnits_Data,MATCH(B96,[22]!PhysicalUnits_Time,0),FALSE)",TPEDoil_mbd,2019,SDS,templates_temp/data/Ch03-Oil.csv
"In contrast, the Sustainable Development Scenario highlights the implicatons of a near-term peak in oil demand and a long-lasting lower oil price.",long-lasting lower,"=VLOOKUP(A97,[22]!PhysicalUnits_Data,MATCH(B97,[22]!PhysicalUnits_Time,0),FALSE)",TPEDoil_mbd,2020,SDS,templates_temp/data/Ch03-Oil.csv
"In contrast, the Sustainable Development Scenario highlights the implicatons of a near-term peak in oil demand and a long-lasting lower oil price.",long-lasting lower,"=VLOOKUP(A98,[22]!PhysicalUnits_Data,MATCH(B98,[22]!PhysicalUnits_Time,0),FALSE)",TPEDoil_mbd,2021,SDS,templates_temp/data/Ch03-Oil.csv
"In contrast, the Sustainable Development Scenario highlights the implicatons of a near-term peak in oil demand and a long-lasting lower oil price.",long-lasting lower,"=VLOOKUP(A99,[22]!PhysicalUnits_Data,MATCH(B99,[22]!PhysicalUnits_Time,0),FALSE)",TPEDoil_mbd,2022,SDS,templates_temp/data/Ch03-Oil.csv
"In contrast, the Sustainable Development Scenario highlights the implicatons of a near-term peak in oil demand and a long-lasting lower oil price.",long-lasting lower,"=VLOOKUP(A100,[22]!PhysicalUnits_Data,MATCH(B100,[22]!PhysicalUnits_Time,0),FALSE)",TPEDoil_mbd,2023,SDS,templates_temp/data/Ch03-Oil.csv
"In contrast, the Sustainable Development Scenario highlights the implicatons of a near-term peak in oil demand and a long-lasting lower oil price.",long-lasting lower,"=VLOOKUP(A101,[22]!PhysicalUnits_Data,MATCH(B101,[22]!PhysicalUnits_Time,0),FALSE)",TPEDoil_mbd,2024,SDS,templates_temp/data/Ch03-Oil.csv
"In contrast, the Sustainable Development Scenario highlights the implicatons of a near-term peak in oil demand and a long-lasting lower oil price.",long-lasting lower,"=VLOOKUP(A102,[22]!PhysicalUnits_Data,MATCH(B102,[22]!PhysicalUnits_Time,0),FALSE)",TPEDoil_mbd,2025,SDS,templates_temp/data/Ch03-Oil.csv
"In contrast, the Sustainable Development Scenario highlights the implicatons of a near-term peak in oil demand and a long-lasting lower oil price.",long-lasting lower,"=VLOOKUP(A103,[22]!PhysicalUnits_Data,MATCH(B103,[22]!PhysicalUnits_Time,0),FALSE)",TPEDoil_mbd,2026,SDS,templates_temp/data/Ch03-Oil.csv
"In contrast, the Sustainable Development Scenario highlights the implicatons of a near-term peak in oil demand and a long-lasting lower oil price.",long-lasting lower,"=VLOOKUP(A104,[22]!PhysicalUnits_Data,MATCH(B104,[22]!PhysicalUnits_Time,0),FALSE)",TPEDoil_mbd,2027,SDS,templates_temp/data/Ch03-Oil.csv
"In contrast, the Sustainable Development Scenario highlights the implicatons of a near-term peak in oil demand and a long-lasting lower oil price.",long-lasting lower,"=VLOOKUP(A105,[22]!PhysicalUnits_Data,MATCH(B105,[22]!PhysicalUnits_Time,0),FALSE)",TPEDoil_mbd,2028,SDS,templates_temp/data/Ch03-Oil.csv
"In contrast, the Sustainable Development Scenario highlights the implicatons of a near-term peak in oil demand and a long-lasting lower oil price.",long-lasting lower,"=VLOOKUP(A106,[22]!PhysicalUnits_Data,MATCH(B106,[22]!PhysicalUnits_Time,0),FALSE)",TPEDoil_mbd,2029,SDS,templates_temp/data/Ch03-Oil.csv
"In contrast, the Sustainable Development Scenario highlights the implicatons of a near-term peak in oil demand and a long-lasting lower oil price.",long-lasting lower,"=VLOOKUP(A107,[22]!PhysicalUnits_Data,MATCH(B107,[22]!PhysicalUnits_Time,0),FALSE)",TPEDoil_mbd,2030,SDS,templates_temp/data/Ch03-Oil.csv
"In contrast, the Sustainable Development Scenario highlights the implicatons of a near-term peak in oil demand and a long-lasting lower oil price.",long-lasting lower,"=VLOOKUP(A109,[100]!Prices_Data,MATCH(B109,[100]!Prices_Time,0),FALSE)",OilPricePublished,2016,SDS,templates_temp/data/Ch03-Oil.csv
"In contrast, the Sustainable Development Scenario highlights the implicatons of a near-term peak in oil demand and a long-lasting lower oil price.",long-lasting lower,"=VLOOKUP(A110,[100]!Prices_Data,MATCH(B110,[100]!Prices_Time,0),FALSE)",OilPricePublished,2017,SDS,templates_temp/data/Ch03-Oil.csv
"In contrast, the Sustainable Development Scenario highlights the implicatons of a near-term peak in oil demand and a long-lasting lower oil price.",long-lasting lower,"=VLOOKUP(A111,[100]!Prices_Data,MATCH(B111,[100]!Prices_Time,0),FALSE)",OilPricePublished,2018,SDS,templates_temp/data/Ch03-Oil.csv
